frame,distance_m
1,0.42852513133333325
2,0.5309985323043478
3,0.4984884180816326
4,0.4608666506792452
5,0.4608666506792452
6,0.30155472204938266
7,0.5957544508780487
8,0.6601603374594593
9,0.6106483121499999
10,0.6263059611794871
11,0.6106483121499999
12,0.6106483121499999
13,0.6263059611794871
14,0.5957544508780487
15,0.581569821095238
16,0.6601603374594593
17,0.581569821095238
18,0.6106483121499999
19,0.6106483121499999
20,0.6601603374594593
21,0.6427876969999999
22,0.6106483121499999
23,0.5551348292272726
24,0.6427876969999999
25,0.6106483121499999
26,0.581569821095238
27,0.6106483121499999
28,0.5957544508780487
29,0.581569821095238
30,0.6106483121499999
31,0.5551348292272726
32,0.581569821095238
33,0.7184097789999998
34,0.6601603374594593
35,0.6601603374594593
36,0.5551348292272726
37,0.5551348292272726
38,0.6106483121499999
39,0.5957544508780487
40,0.6106483121499999
41,0.6601603374594593
42,0.5551348292272726
43,0.6106483121499999
44,0.5957544508780487
45,0.5957544508780487
46,0.5957544508780487
47,0.5957544508780487
48,0.5957544508780487
49,0.6106483121499999
50,0.6106483121499999
51,0.6601603374594593
52,0.6106483121499999
53,0.6106483121499999
54,0.6427876969999999
55,0.581569821095238
56,0.6106483121499999
57,0.6106483121499999
58,0.6106483121499999
59,0.6106483121499999
60,0.4608666506792452
61,0.6427876969999999
62,0.6106483121499999
63,0.5309985323043478
64,0.5957544508780487
65,0.4697294708846153
66,0.5551348292272726
67,0.4211367669999999
68,0.452332083074074
69,0.6106483121499999
70,0.5551348292272726
71,0.5551348292272726
72,0.5551348292272726
73,0.5551348292272726
74,0.5680449415348836
75,0.5680449415348836
76,0.6978837853142856
77,0.6106483121499999
78,0.6106483121499999
79,0.5957544508780487
80,0.6106483121499999
81,0.5957544508780487
82,0.6106483121499999
83,0.7401797723030302
84,0.6106483121499999
85,0.6106483121499999
86,0.6106483121499999
87,0.678498124611111
88,0.6106483121499999
89,0.6106483121499999
90,0.6106483121499999
91,0.6106483121499999
92,0.5957544508780487
93,0.6106483121499999
94,0.6106483121499999
95,0.6106483121499999
96,0.5957544508780487
97,0.5957544508780487
98,0.5957544508780487
99,0.6106483121499999
100,0.6106483121499999
